Index;Document_No;Dominant_Topic;Topic_Perc_Contrib;Keywords;Question;Response
455;455;9.0;0.0776;flight, back, problem, happy, hold, long, service, terminal, money, row;i certainly hope get it together. My #marine is coming home for Christmas and his return flight is booked on them. I haven’t seen my son in so long. Please get it together.;Our entire team is working diligently on this and well take excellent care of your son. We appreciate his service to our country!
456;456;13.0;0.0932;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;When do passengers find out if their flights are in jeopardy? The day of travel? Will you allow passengers to use other airlines if theres a cancellation?;Were operating schedules as normal. If any changes occur well let you know. But we fully expect to avoid cancelling flights.
457;457;9.0;0.0702;flight, back, problem, happy, hold, long, service, terminal, money, row;Way to go How do I know if my flight Dec. 21st has a pilot??? https://t.co/umKmpI4ohD;We know this is an important time of year for travel and we expect to avoid any cancellations.
458;458;0.0;0.0795;call, year, guy, nice, update, amp, ve, week, receive, status;They called and were told this. Is this correct information, you guys are waiving bag fees to PR but not USVI? My friend is trying to plan for a cost effective way to get supplies back to fix their destroyed house. Who should they call if the info they were given was incorrect?;Weve partnered with the Red Cross to provide assistance. Please reach out to them directly to see how you can help.
459;459;1.0;0.0884;cancel, airline, trip, expect, return, buy, chance, full, price, include;a friend who is returning to a house destroyed by Maria was told you arent waiving bag fees to #USVI but are to #PuertoRico. We have also been just as devastated (80 days no power, no roofs etc.) and this isnt right if true. How can we fix this?;If your friend needs to speak with someone regarding this, please have them speak with our airport team.
460;460;19.0;0.0789;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;my ticket for my flight tomorrow is still pending and it’s been a few hours. What can we do to get my ticket issued?;Our ticketing team has received your upgrade and theyre working on it. An email will be sent shortly.
461;461;0.0;0.0673;call, year, guy, nice, update, amp, ve, week, receive, status;Any update? Still has yet to be issued.;There was a problem with the reissue, but weve fixed it and you should get a confirmation soon. Thanks for your patience.
462;462;5.0;0.0898;aa, give, pilot, plan, option, food, answer, schedule, offer, small;announces a computer glitch leaving flights with no pilots a day before my vacation. Don’t do this to me AA! #ineedavacation;Its an important time of year for holiday travel and were expecting to avoid cancellations.
463;463;14.0;0.0679;gate, wait, agent, minute, leave, board, phone, open, arrive, unacceptable;your offer of reimbursement for my delayed baggage would take more time than it is worth in money. I’d prefer a flight upgrade or domestic trip I can use anytime.;Wed love to help if we could, but we dont have that option. Please continue working with our baggage team for reimbursement options.
464;464;13.0;0.0776;day, travel, lose, find, business, class, thanksgiving, voucher, real, team;already did that. They located the bag but that doesn’t change my inconvenienced business travel. I need to be compensated for this error.;How long were you without your bag? Please DM us your record locator and well take a look.
465;465;10.0;0.1039;bag, check, free, carry, luggage, put, bring, cabin, force, fit;was told I had to check a carry-on at gate this morning. I’ve arrived (had connecting flight), bag is delayed. This is a one-day business trip. Delay of my bag is unacceptable. Who handles this? I want to speak to a human, no websites;If you send us a DM with your bag tag number, we can take a look. You can also give our Baggage team a call via 800-535-5225.
466;466;15.0;0.0926;flight, passenger, crew, love, time, provide, lounge, talk, ve, break;Shouldnt be a big deal, but it is. I was delighted to hear the voice of our Captain on the 5 AM flight from Austin today. First time Ive flown with a female Captain. Excellent flight. 👍 👊 #WomenInLeadership #RoleModel https://t.co/ZLB3C6pNlB;We love all of our pilots! Thanks for flying with us. #AATeam
467;467;3.0;0.0757;plane, fly, airport, sit, start, spend, screen, ill, deal, kid;I was pretty calm until your customer service agent went all and started blaming the media for your own mistakes. My flights were to Chicago, not Birmingham.;We want to always provide you with great service. Our apologies if you received any less.
468;468;18.0;0.1013;issue, holiday, family, happen, fix, due, card, end, contact, first_class;I would like you to cancel and refund my holiday travel plans due to uncertainty they will actually happen. I had to book flights with because I have faith they will actually get me to my destination.;Were working on this and we expect a full operation. Were unable to refund your ticket if its restricted.
469;469;16.0;0.0959;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;The next time I fly with and the WiFi doesnt work, I am going to sue each company for false advertisement because people need WiFi like they need air. #NotAThreatAPromise #HowHardIsIt?;Our friends are always available if you need assistance. Please reach out to them if youre having issues.
470;470;18.0;0.0784;issue, holiday, family, happen, fix, due, card, end, contact, first_class;I regret my experiences with you everytime, feels abusive in your end;Those seats will be complimentary at the gate. Our team reserve the best one available upon arrival. We look forward to seeing you soon!
471;471;18.0;0.0789;issue, holiday, family, happen, fix, due, card, end, contact, first_class;Shoulda flown I bet this wouldn’t have happened with them, or at least they would’ve tried to fix it. “There’s nothing we can do” should never be the answer especially for a veteran!! Ijs;We appreciate your concern and well continue to work with them directly.
472;472;5.0;0.0712;aa, give, pilot, plan, option, food, answer, schedule, offer, small;is it true Christmas flights are at risk of cancellation due to pilot shortage?;We plan to avoid cancellations.
473;473;17.0;0.0907;time, bad, service, experience, response, home, understand, month, guy, reason;I fly you guys 4-6 times a month and this is the second time you don’t have proper food and drink on board. It’s unacceptable. Especially on flights over 4 hours. What’s the deal??? I’m really annoyed I wasted my miles for a shit experience.;Were doing all we can to get things back up and running normally, we appreciate your patience and apologize for the inconvenience.
474;474;10.0;0.0847;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Adding insult to injury, there was plenty of room on the plane and luggage could of fit under seat with no problems. Just ridiculous;Weve sent some info to you via DM. Please take a look when you get a moment.
475;475;10.0;0.0926;bag, check, free, carry, luggage, put, bring, cabin, force, fit;Worst customer service ever. Told carry-on was acceptable when checking in then flight was full and made to pay $50 at gate for checking bag at gate with penalty! Then agent threatened with releasing ticket when I asked why $50 when it wasnt my fault! #neverflyagain;Wed like to take a closer look into this. Please DM your record locator.
476;476;16.0;0.0665;good, upgrade, work, people, send, mile, amazing, aadvantage, platinum, job;stop peddling your credit card offers on your flights, it’s so icky.;We just want to make sure everyone is aware of the great benefits of the card. Thanks for your feedback.
477;477;8.0;0.0609;https, today, fly, home, guess, aa, awesome, treat, part, joke;Quite the morning view of the lone star state on 6021. https://t.co/K9s1Wwu8hD;Theres a lot to see when youre flying the skies. Thanks for joining us this morning!
478;478;19.0;0.0806;ticket, book, charge, refund, number, ridiculous, fare, date, cost, online;"I BOOK A FLIGHT BACK IN JUNE AND ALSO BOUGHT THE INSURANCE IN CASE OF CANCELLATION; TO DATE MY REFUND HAS BEEN DENIED..";Were sorry for your disappointment, but please continue working with your insurance company for more information on your claim.
479;479;12.0;0.1044;make, change, customer, hope, thing, fee, dm, line, cool, night;Oh and wait in line for an hour for taxi in the middle of night no ubers no cust svc no nothing;Were very sorry for your sons inconveniences and wed like to hear more. Well need for him to contact us directly in DM with details.
